k,silhouette,seed_stability_ari,inertia
2,0.4251876089244755,1.0,6476.506937053552
3,0.329678829867433,0.989647577287723,4858.078487594671
4,0.33021277287195977,0.9558966572410037,3925.274472672854
5,0.3196949670376159,0.9963209693288203,3269.0747590373144
6,0.3185322270556646,0.9456695756202319,2840.653969257967
